Event Code,Event Name,Club,StartDate,EndDate,Description,Audience,Poster URL,Venue
NSS2526001,11th International Yoga Day Celebrations,"National Service Scheme, Sports Council",2025-06-21,2025-06-21,"The event aims to promote physical, mental, and emotional well-being among students and staff through the practice of yoga. It will follow the Common Yoga Protocol (CYP) prescribed by the Ministry and is designed to be accessible to all participants, regardless of prior yoga experience.
The session will include a guided practice of yogasanas, breathing techniques (Pranayama), meditation, and a brief interactive segment. We also plan to provide light refreshments to all attendees post-session.",['internal'],67YBbFRsCHMxvojdcntmwY_poster_11th_International_Yoga_Day_Celebrations_nss.jpg,Felicity Ground
NSS2425009,"Career Guidance at ZPHS, Gachibowli",National Service Scheme,2025-03-15,2025-03-15,"The National Service Scheme (NSS) team from IIIT Hyderabad conducted an informative career guidance session at Zilla Parishad High School (ZPHS), Gachibowli, emphasizing ethical AI usage for academic purposes. The event aimed to help students make informed career decisions while integrating Artificial Intelligence (AI) responsibly into their studies and conducted Q&A Session.",['ug2'],5vA6nRyoSvomf3j8Qf2a3S_poster_Career_Guidance_at_ZPHS_Gachibowli_nss.jpg,other
ASEC2425022,Women's Day- Relay Rumble,"Amateur Sports Enthusiasts Club, National Service Scheme",2025-03-10,2025-03-11,"The event begins with an inspiring talk by an esteemed woman speaker, addressing the crowd on resilience, leadership, and breaking barriers which is followed by a relay-race event. It is a one-team v/s one-team event. Teams compete in an exciting relay race featuring a mix of speed, balance, and coordination challenges like the Sack Race, BackBall Balance, and Lemon Race and ending in a human Tic-Tac-Toe game.","['fac', 'stf', 'pg', 'ug4', 'ug3', 'ug2', 'ug1']",No Poster URL,"Felicity Ground, KRB Auditorium"
NSS2425008,Blood Donation Camp,National Service Scheme,2025-01-26,2025-01-26,"On the occasion of Republic Day 2025, the National Service Scheme (NSS) organized a Blood Donation Drive in collaboration with Osmania Medical Hospital. The event aimed to support patients in need by encouraging the IIIT-H community to contribute to this life-saving cause.

With enthusiastic participation from students, faculty, and staff, the drive successfully collected numerous units of blood, showing the strong social responsibility within the IIIT Hyderabad community. The medical team from Osmania Medical Hospital ensured a safe and seamless donation process, making it an impactful and meaningful event.","['ug1', 'ug2', 'ug3', 'ug4', 'pg', 'stf', 'fac']",XimHNrJZNnbQGaswLzFukg_poster_Blood_Donation_Camp_nss.png,"Himalaya 101, Himalaya 102, Himalaya 103, Himalaya 104"
NSS2425007,Orphanage Visit,National Service Scheme,2024-11-16,2024-11-16,"On the occasion of Children’s Day, a meaningful visit is being planned to the Tapasvi Foundation Orphanage Home to honor and celebrate the innocence and potential of every child. This initiative aims to spread joy and emphasize the importance of community care and compassion.

The visit will begin with warm introductions, followed by engaging activities such as interactive games to create an atmosphere of excitement and happiness. Volunteers will distribute gifts, including books and educational supplies, symbolizing support for the children’s growth and learning.

The day will conclude with encouraging speeches and the distribution of fruits to the children, reflecting a heartfelt commitment to uplifting young minds.

This visit holds great importance as it seeks to reinforce the values of empathy and responsibility towards the underprivileged. It aims to highlight the need to nurture every child’s potential and remind everyone of their collective role in creating a brighter future for all children.","['ug2', 'ug3']",hjccZgMhfHkjWsGAThbqB4_IMG-20241113-WA0006.jpg.jpg,other
NSS2425005,Shramdaan,National Service Scheme,2024-10-02,2024-10-02,"On October 2nd, as apart of Gandhi Jayanthi celebrations and Swachtha Hi Seva hai campaign, we plan to celebrate by a yoga session in the morning from 8 am 5o 9 pm followed a road cleaning.","['ug1', 'ug2', 'ug3', 'ug4', 'pg']",KXi7AVruYtu6Tenu5GNhbh_poster_Shramdaan_nss.jpg,Felicity Ground
NSS2425004,Blood donation camp,National Service Scheme,2024-08-15,2024-08-15,"Each year, on Independence Day and Republic Day, NSS collaborates with Osmania Medical Hospital for a life-saving blood donation camp. This event blends patriotism and community well-being as NSS volunteers and medical professionals unite in service. The donated blood, a symbol of unity and sacrifice, saves countless lives. We take pride in our collective impact and look forward to continuing this tradition, celebrating our nation's glory, and fostering a compassionate society.","['ug1', 'ug3', 'ug4', 'ug2', 'pg', 'stf', 'fac']",BDdoYdv4w46RtPfjvY6PwB_IMG_20240815_165911.jpg,"Himalaya 104, Himalaya 103, Himalaya 101, Himalaya 102"
NSS2425003,SOHA Exhibition,National Service Scheme,2024-08-03,2024-08-03,A talk and poster presentation by BSG organization for DSG based on Environmental Issues,['ug1'],No Poster URL,No Venue
NSS2425002,Batch Tree Plantation,National Service Scheme,2024-08-03,2024-08-04,"A symbolic batch tree is planted, symbolizing unity and growth as a part of UG1 induction. To celebrate the new batch's arrival, additional trees are planted. This tradition signifies the start of their journey, promoting a commitment to sustainability and a greener campus.",['ug1'],3HHmaXiJ2kM5xbKmENd6Rb_IMG_20240803_083428.jpg,other
